Week start date,Mass immunization clinics,Congregate settings,Pharmacies,Primary care,Other
2021-02-07,2549,1996,0,0,0
2021-02-14,5042,917,0,0,0
2021-02-21,5700,1231,0,0,0
2021-02-28,7516,48,0,0,1047
2021-03-07,10840,451,0,0,214
2021-03-14,9997,1049,0,0,0
2021-03-21,11112,78,0,0,1165
2021-03-28,14543,174,0,0,275
2021-04-04,14042,256,644,265,0
2021-04-11,16368,146,1573,928,0
2021-04-18,19446,252,7552,1854,544
2021-04-25,18270,425,6321,2136,130
2021-05-02,18692,112,3569,481,90
2021-05-09,18419,11,809,1278,199
2021-05-16,21065,31,2384,1604,357
2021-05-23,26372,91,2332,1650,459
2021-05-30,27025,40,6736,334,569
2021-06-06,29363,70,7810,141,1106
2021-06-13,29496,42,8179,785,792
2021-06-20,37924,32,8672,1838,2659
2021-06-27,44294,68,9253,1848,1537
2021-07-04,44150,76,8949,1259,2188
2021-07-11,41396,347,6436,1167,2348
2021-07-18,23190,45,5046,655,3116
2021-07-25,15711,38,3710,276,2012
2021-08-01,11264,53,2553,55,1086
2021-08-08,10903,29,3032,250,1260
2021-08-15,8317,28,2398,108,1150
2021-08-22,5995,135,2763,211,954
2021-08-29,5918,415,3388,308,1863
2021-09-05,3720,226,2810,430,1750
2021-09-12,3664,1066,2928,377,1652
2021-09-19,4008,549,4112,744,2698
2021-09-26,3063,219,3223,714,1664
2021-10-03,2385,84,3153,499,1596
2021-10-10,2191,37,2705,285,546
2021-10-17,2328,126,2892,190,222
2021-10-24,1745,327,2583,197,444
2021-10-31,2056,690,2090,135,312
2021-11-07,2615,228,2064,137,190
2021-11-14,2640,71,2184,94,63
2021-11-21,4378,48,2586,211,130
2021-11-28,10425,93,4367,390,1007
2021-12-05,10176,222,5292,556,1553
2021-12-12,15363,508,10766,1673,2196
2021-12-19,18932,394,13469,3562,2100
2021-12-26,17687,240,10511,1301,1412
2022-01-02,20369,378,12085,2014,392
2022-01-09,21823,817,11216,2101,2668
2022-01-16,17941,724,7347,1399,1408
2022-01-23,14528,421,4521,1304,447
2022-01-30,8201,443,3611,813,661
2022-02-06,4024,210,2414,392,450
2022-02-13,3180,154,1728,239,272
2022-02-20,3131,257,1348,182,397
2022-02-27,2139,212,1087,105,256
2022-03-06,1555,144,852,75,174
2022-03-13,1573,24,836,76,215
2022-03-20,1168,194,788,91,235
2022-03-27,971,44,838,54,118
2022-04-03,2819,52,2479,37,478
2022-04-10,4314,152,3603,76,373
2022-04-17,3901,61,3827,175,336
2022-04-24,3277,316,2828,134,430
2022-05-01,3023,95,2479,170,372
2022-05-08,2174,88,2119,59,361
2022-05-15,2024,9,1917,78,412
2022-05-22,1600,70,1526,48,332
2022-05-29,1361,238,1357,73,145
2022-06-05,1183,32,1259,49,132
2022-06-12,986,13,1049,55,193
2022-06-19,945,140,1224,18,164
2022-06-26,1308,84,1033,22,173
2022-07-03,1557,27,1368,38,498
2022-07-10,2981,107,1970,78,592
2022-07-17,4504,21,2931,152,579
2022-07-24,3507,50,2158,146,481
2022-07-31,2733,11,1437,94,204
2022-08-07,2270,0,1238,130,287
2022-08-14,1807,51,1033,125,176
2022-08-21,1859,6,1409,229,306
2022-08-28,2218,6,1407,215,253
2022-09-04,1162,6,817,218,147
2022-09-11,2059,11,1105,192,259
2022-09-18,3029,0,1961,163,201
2022-09-25,3203,250,4538,245,369
2022-10-02,3732,394,3725,194,738
2022-10-09,3124,467,2892,178,674
2022-10-16,3882,486,5902,207,1143
2022-10-23,3783,471,5678,263,866
2022-10-30,3418,174,4962,397,715
